C:\Users\me\OneDrive - William Rainey Harper College\Fall 2026\MTH 202\Notes UPDATING\Ch. 1 (Three-Dimensional Space; Vectors)\Worksheets\1.1 Worksheet_Solutions.docx|1|A picture of the point and the distance to the associated plane for this question.
C:\Users\me\OneDrive - William Rainey Harper College\Fall 2026\MTH 202\Notes UPDATING\Ch. 1 (Three-Dimensional Space; Vectors)\Worksheets\1.1 Worksheet_Solutions.docx|2|A picture of the pla
C:\Users\me\OneDrive - William Rainey Harper College\Fall 2026\MTH 202\Notes UPDATING\Ch. 1 (Three-Dimensional Space; Vectors)\Worksheets\1.1 Worksheet_Solutions.docx|1|A picture of the point and the distance to the associated plane for this question.
C:\Users\me\OneDrive - William Rainey Harper College\Fall 2026\MTH 202\Notes UPDATING\Ch. 1 (Three-Dimensional Space; Vectors)\Worksheets\1.1 Worksheet_Solutions.docx|2|A picture of the point and the distance to the associated plane for this question.
C:\Users\me\OneDrive - William Rainey Harper College\Fall 2026\MTH 202\Notes UPDATING\Ch. 1 (Three-Dimensional Space; Vectors)\Worksheets\1.1 Worksheet_Solutions.docx|3|A picture of the point and the distance to the associated plane for this question.
C:\Users\me\OneDrive - William Rainey Harper College\Fall 2026\MTH 202\Notes UPDATING\Ch. 1 (Three-Dimensional Space; Vectors)\Worksheets\1.1 Worksheet_Solutions.docx|4|A picture of the point and the distance to the associated axis for this question.
C:\Users\me\OneDrive - William Rainey Harper College\Fall 2026\MTH 202\Notes UPDATING\Ch. 1 (Three-Dimensional Space; Vectors)\Worksheets\1.1 Worksheet_Solutions.docx|5|A picture of the point and the distance to the associated axis for this question.
C:\Users\me\OneDrive - William Rainey Harper College\Fall 2026\MTH 202\Notes UPDATING\Ch. 1 (Three-Dimensional Space; Vectors)\Worksheets\1.1 Worksheet_Solutions.docx|6|A picture of the point and the distance to the associated axis for this question.
C:\Users\me\OneDrive - William Rainey Harper College\Fall 2026\MTH 202\Notes UPDATING\Ch. 1 (Three-Dimensional Space; Vectors)\Worksheets\1.1 Worksheet_Solutions.docx|7|The sphere for this question with the intersection curve shown on it.
C:\Users\me\OneDrive - William Rainey Harper College\Fall 2026\MTH 202\Notes UPDATING\Ch. 1 (Three-Dimensional Space; Vectors)\Worksheets\1.1 Worksheet_Solutions.docx|8|The sphere and the associated plane for this question.
