C:\Users\me\OneDrive - William Rainey Harper College\Fall 2026\MTH 202\Notes UPDATING\Ch. 5 (Topics In Vector Calculus)\5.1 Vector Fields_Notes.docx|1|A picture of the vector field F.
C:\Users\me\OneDrive - William Rainey Harper College\Fall 2026\MTH 202\Notes UPDATING\Ch. 5 (Topics In Vector Calculus)\5.2.1 Line Integrals_Guide.docx|1|A cartoon of a curved path shoveled through fresh fallen snow.
C:\Users\me\OneDrive - William Rainey Harper College\Fall 2026\MTH 202\Notes UPDATING\Ch. 5 (Topics In Vector Calculus)\5.2.1 Line Integrals_Guide.docx|2|A picture of the area of the "curtain" that exists below z=f(x,y) and above the curve C.
C:\Users\me\OneDrive - William Rainey Harper College\Fall 2026\MTH 202\Notes UPDATING\Ch. 5 (Topics In Vector Calculus)\5.2.1 Line Integrals_Guide.docx|3|A picture of the curve C being broken up into smaller segments.
C:\Users\me\OneDrive - William Rainey Harper College\Fall 2026\MTH 202\Notes UPDATING\Ch. 5 (Topics In Vector Calculus)\5.2.1 Line Integrals_Guide.docx|4|A picture of the upper half of x^2+y^2=1.
C:\Users\me\OneDrive - William Rainey Harper College\Fall 2026\MTH 202\Notes UPDATING\Ch. 5 (Topics In Vector Calculus)\5.2.1 Line Integrals_Guide.docx|5|A picture of the upper half of x^2+y^2=1.
C:\Users\me\OneDrive - William Rainey Harper College\Fall 2026\MTH 202\Notes UPDATING\Ch. 5 (Topics In Vector Calculus)\5.2.1 Line Integrals_Guide.docx|6|A picture of r(t).
C:\Users\me\OneDrive - William Rainey Harper College\Fall 2026\MTH 202\Notes UPDATING\Ch. 5 (Topics In Vector Calculus)\5.2.1 Line Integrals_Guide.docx|7|A picture of a path C that is made up of 5 pieces: C1, C2, C3, C4, & C5.
C:\Users\me\OneDrive - William Rainey Harper College\Fall 2026\MTH 202\Notes UPDATING\Ch. 5 (Topics In Vector Calculus)\5.2.1 Line Integrals_Guide.docx|8|A picture of the "curtained" determined by f(x,y) and the curve C (all shown in blue).  The projection of this "curtain" to the xz-plane is shown in gray.
C:\Users\me\OneDrive - William Rainey Harper College\Fall 2026\MTH 202\Notes UPDATING\Ch. 5 (Topics In Vector Calculus)\5.2.1 Line Integrals_Notes.docx|1|A cartoon of a curved path shoveled through fresh fallen snow.
C:\Users\me\OneDrive - William Rainey Harper College\Fall 2026\MTH 202\Notes UPDATING\Ch. 5 (Topics In Vector Calculus)\5.2.1 Line Integrals_Notes.docx|2|A picture of the area of the "curtain" that exists below z=f(x,y) and above the curve C.
C:\Users\me\OneDrive - William Rainey Harper College\Fall 2026\MTH 202\Notes UPDATING\Ch. 5 (Topics In Vector Calculus)\5.2.1 Line Integrals_Notes.docx|3|A picture of the curve C being broken up into smaller segments.
C:\Users\me\OneDrive - William Rainey Harper College\Fall 2026\MTH 202\Notes UPDATING\Ch. 5 (Topics In Vector Calculus)\5.2.1 Line Integrals_Notes.docx|4|A picture of the upper half of x^2+y^2=1.
C:\Users\me\OneDrive - William Rainey Harper College\Fall 2026\MTH 202\Notes UPDATING\Ch. 5 (Topics In Vector Calculus)\5.2.1 Line Integrals_Notes.docx|5|A picture illustrating the MVT for Integrals from Calculus 1 as described.
C:\Users\me\OneDrive - William Rainey Harper College\Fall 2026\MTH 202\Notes UPDATING\Ch. 5 (Topics In Vector Calculus)\5.2.1 Line Integrals_Notes.docx|6|A picture of the upper half of x^2+y^2=1.
C:\Users\me\OneDrive - William Rainey Harper College\Fall 2026\MTH 202\Notes UPDATING\Ch. 5 (Topics In Vector Calculus)\5.2.1 Line Integrals_Notes.docx|7|A picture of r(t).
C:\Users\me\OneDrive - William Rainey Harper College\Fall 2026\MTH 202\Notes UPDATING\Ch. 5 (Topics In Vector Calculus)\5.2.1 Line Integrals_Notes.docx|8|A picture of a path C that is made up of 5 pieces: C1, C2, C3, C4, & C5.
C:\Users\me\OneDrive - William Rainey Harper College\Fall 2026\MTH 202\Notes UPDATING\Ch. 5 (Topics In Vector Calculus)\5.2.1 Line Integrals_Notes.docx|9|A picture of C.  The pieces of C (C1 and C2) are shown in different colors.
C:\Users\me\OneDrive - William Rainey Harper College\Fall 2026\MTH 202\Notes UPDATING\Ch. 5 (Topics In Vector Calculus)\5.2.1 Line Integrals_Notes.docx|10|A picture of the "curtained" determined by f(x,y) and the curve C (all shown in blue).  The projection of this "curtain" to the xz-plane is shown in gray.
C:\Users\me\OneDrive - William Rainey Harper College\Fall 2026\MTH 202\Notes UPDATING\Ch. 5 (Topics In Vector Calculus)\5.2.1 Line Integrals_Notes.docx|11|A picture of the curve C.
C:\Users\me\OneDrive - William Rainey Harper College\Fall 2026\MTH 202\Notes UPDATING\Ch. 5 (Topics In Vector Calculus)\5.2.1 Line Integrals_Notes.docx|12|A graph of a function  AI-generated content may be incorrect.
C:\Users\me\OneDrive - William Rainey Harper College\Fall 2026\MTH 202\Notes UPDATING\Ch. 5 (Topics In Vector Calculus)\5.2.1 Line Integrals_Notes.docx|11|A picture of the curve C being modeled by r(t).
C:\Users\me\OneDrive - William Rainey Harper College\Fall 2026\MTH 202\Notes UPDATING\Ch. 5 (Topics In Vector Calculus)\5.2.1 Line Integrals_Notes.docx|12|A picture of the curve C being modeled by r(t).
C:\Users\me\OneDrive - William Rainey Harper College\Fall 2026\MTH 202\Notes UPDATING\Ch. 5 (Topics In Vector Calculus)\5.2.1 Line Integrals_Notes.docx|13|A picture of the curve C' being modeled by r(t).
C:\Users\me\OneDrive - William Rainey Harper College\Fall 2026\MTH 202\Notes UPDATING\Ch. 5 (Topics In Vector Calculus)\5.2.1 Line Integrals_Notes.docx|14|A picture of the curve C being modeled by r(t).
C:\Users\me\OneDrive - William Rainey Harper College\Fall 2026\MTH 202\Notes UPDATING\Ch. 5 (Topics In Vector Calculus)\5.2.2 Work Integrals_Guide.docx|1|A picture of a curve C moving through a vector field.
C:\Users\me\OneDrive - William Rainey Harper College\Fall 2026\MTH 202\Notes UPDATING\Ch. 5 (Topics In Vector Calculus)\5.2.2 Work Integrals_Guide.docx|2|A picture of the curve C being broken up into smaller pieces.  On the ith piece a point is shown and at this point the vector field F and the unit tangent vector T are shown.
C:\Users\me\OneDrive - William Rainey Harper College\Fall 2026\MTH 202\Notes UPDATING\Ch. 5 (Topics In Vector Calculus)\5.2.2 Work Integrals_Notes.docx|1|A picture of a curve C moving through a vector field.
C:\Users\me\OneDrive - William Rainey Harper College\Fall 2026\MTH 202\Notes UPDATING\Ch. 5 (Topics In Vector Calculus)\5.2.2 Work Integrals_Notes.docx|2|A picture of the curve C being broken up into smaller pieces.  On the ith piece a point is shown and at this point the vector field F and the unit tangent vector T are shown.
C:\Users\me\OneDrive - William Rainey Harper College\Fall 2026\MTH 202\Notes UPDATING\Ch. 5 (Topics In Vector Calculus)\5.2.2 Work Integrals_Notes.docx|3|A picture of the curve C (modeled by r(t)) moving through the vector field F.
C:\Users\me\OneDrive - William Rainey Harper College\Fall 2026\MTH 202\Notes UPDATING\Ch. 5 (Topics In Vector Calculus)\5.2.2 Work Integrals_Notes.docx|4|A picture of the curve C (modeled by r(t)) moving through the vector field F.
C:\Users\me\OneDrive - William Rainey Harper College\Fall 2026\MTH 202\Notes UPDATING\Ch. 5 (Topics In Vector Calculus)\5.3 Independence of Path; Conservative Vector Fields_Guide.docx|1|A picture of curves C1 and C2 (modeled by r1(t) and r2(t)) moving through vector field.
C:\Users\me\OneDrive - William Rainey Harper College\Fall 2026\MTH 202\Notes UPDATING\Ch. 5 (Topics In Vector Calculus)\5.3 Independence of Path; Conservative Vector Fields_Guide.docx|2|A picture of many different curves moving through a vector field.  Each curve starts at (0,0) and ends at (1,1).
C:\Users\me\OneDrive - William Rainey Harper College\Fall 2026\MTH 202\Notes UPDATING\Ch. 5 (Topics In Vector Calculus)\5.3 Independence of Path; Conservative Vector Fields_Guide.docx|3|A picture of many different curves moving through the vector field F.  Each curve starts at (1,3) and ends at (2,9).
C:\Users\me\OneDrive - William Rainey Harper College\Fall 2026\MTH 202\Notes UPDATING\Ch. 5 (Topics In Vector Calculus)\5.3 Independence of Path; Conservative Vector Fields_Guide.docx|4|A picture of curves C1 and C2 (modeled by r1(t) and r2(t)) moving through vector field F.
C:\Users\me\OneDrive - William Rainey Harper College\Fall 2026\MTH 202\Notes UPDATING\Ch. 5 (Topics In Vector Calculus)\5.3 Independence of Path; Conservative Vector Fields_Guide.docx|3|A picture of many different curves moving through the vector field F.  Each curve starts at (1,3) and ends at (2,9).
C:\Users\me\OneDrive - William Rainey Harper College\Fall 2026\MTH 202\Notes UPDATING\Ch. 5 (Topics In Vector Calculus)\5.3 Independence of Path; Conservative Vector Fields_Guide.docx|2|A picture of many different curves moving through a vector field.  Each curve starts at (0,0) and ends at (1,1).
C:\Users\me\OneDrive - William Rainey Harper College\Fall 2026\MTH 202\Notes UPDATING\Ch. 5 (Topics In Vector Calculus)\5.3 Independence of Path; Conservative Vector Fields_Guide.docx|1|A picture of curves C1 and C2 (modeled by r1(t) and r2(t)) moving through a vector field.
C:\Users\me\OneDrive - William Rainey Harper College\Fall 2026\MTH 202\Notes UPDATING\Ch. 5 (Topics In Vector Calculus)\5.3 Independence of Path; Conservative Vector Fields_Guide.docx|2|A picture of many different curves moving through a vector field.  Each curve starts at (0,0) and ends at (1,1).
C:\Users\me\OneDrive - William Rainey Harper College\Fall 2026\MTH 202\Notes UPDATING\Ch. 5 (Topics In Vector Calculus)\5.3 Independence of Path; Conservative Vector Fields_Guide.docx|3|A picture of many different curves moving through the vector field F.  Each curve starts at (1,3) and ends at (2,9).
C:\Users\me\OneDrive - William Rainey Harper College\Fall 2026\MTH 202\Notes UPDATING\Ch. 5 (Topics In Vector Calculus)\5.3 Independence of Path; Conservative Vector Fields_Guide.docx|4|A picture of curves C1 and C2 (modeled by r1(t) and r2(t)) moving through vector field F.
